lsoa,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_nlvo_ivt_mean_mrs,drip_ship_nlvo_ivt_mrs_less_equal_2,drip_ship_nlvo_ivt_mrs_shift,drip_ship_nlvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mean_mrs,drip_ship_lvo_ivt_mrs_less_equal_2,drip_ship_lvo_ivt_mrs_shift,drip_ship_lvo_ivt_added_mrs_less_equal_2,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_ivt_mt_mean_mrs,drip_ship_lvo_ivt_mt_mrs_less_equal_2,drip_ship_lvo_ivt_mt_mrs_shift,drip_ship_lvo_ivt_mt_added_mrs_less_equal_2,drip_ship_lvo_mt_added_utility,drip_ship_lvo_mt_mean_mrs,drip_ship_lvo_mt_mrs_less_equal_2,drip_ship_lvo_mt_mrs_shift,drip_ship_lvo_mt_added_mrs_less_equal_2,mothership_nlvo_ivt_added_utility,mothership_nlvo_ivt_mean_mrs,mothership_nlvo_ivt_mrs_less_equal_2,mothership_nlvo_ivt_mrs_shift,mothership_nlvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mean_mrs,mothership_lvo_ivt_mrs_less_equal_2,mothership_lvo_ivt_mrs_shift,mothership_lvo_ivt_added_mrs_less_equal_2,mothership_lvo_ivt_mt_added_utility,mothership_lvo_ivt_mt_mean_mrs,mothership_lvo_ivt_mt_mrs_less_equal_2,mothership_lvo_ivt_mt_mrs_shift,mothership_lvo_ivt_mt_added_mrs_less_equal_2,mothership_lvo_mt_added_utility,mothership_lvo_mt_mean_mrs,mothership_lvo_mt_mrs_less_equal_2,mothership_lvo_mt_mrs_shift,mothership_lvo_mt_added_mrs_less_equal_2,drip_ship_lvo_mix_added_utility,drip_ship_lvo_mix_mrs_less_equal_2,drip_ship_lvo_mix_mrs_shift,drip_ship_lvo_mix_added_mrs_less_equal_2,mothership_lvo_mix_added_utility,mothership_lvo_mix_mrs_less_equal_2,mothership_lvo_mix_mrs_shift,mothership_lvo_mix_added_mrs_less_equal_2,drip_ship_weighted_added_utility,drip_ship_weighted_mrs_less_equal_2,drip_ship_weighted_mrs_shift,drip_ship_weighted_added_mrs_less_equal_2,mothership_weighted_added_utility,mothership_weighted_mrs_less_equal_2,mothership_weighted_mrs_shift,mothership_weighted_added_mrs_less_equal_2,drip_ship_weighted_treated_added_utility,drip_ship_weighted_treated_mrs_less_equal_2,drip_ship_weighted_treated_mrs_shift,drip_ship_weighted_treated_added_mrs_less_equal_2,mothership_weighted_treated_added_utility,mothership_weighted_treated_mrs_less_equal_2,mothership_weighted_treated_mrs_shift,mothership_weighted_treated_added_mrs_less_equal_2
N00003775,37.8526650536016,BT635QQ,53.7507676882285,BT126BA,37.8526650536016,BT126BA,True,127.8526650536016,285.7053301072032,143.7507676882285,203.7507676882285,0.10858,1.68461,0.6974,-0.59539,0.1174,0.05312,3.37722,0.32289,-0.26278,0.05789,0.09385,3.18266,0.3635,-0.45734,0.0985,0.09385,3.18266,0.3635,-0.45734,0.0985,0.10197,1.72274,0.69016,-0.55726,0.11016,0.04876,3.401,0.3183,-0.239,0.0533,0.14201,2.92791,0.41478,-0.71209,0.14978,0.14201,2.92791,0.41478,-0.71209,0.14978,0.09069,0.36035,-0.44226,0.09535,0.13478,0.4073,-0.67543,0.1423,0.02478,0.13126,-0.12895,0.02645,0.02949,0.13625,-0.1535,0.03145,0.09956,0.52747,-0.51819,0.10628,0.11851,0.54755,-0.61684,0.12637
N00003776,35.2996111471651,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,141.3712344516913,201.3712344516913,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09211,0.36185,-0.44969,0.09685,0.13614,0.40876,-0.68272,0.14376,0.02508,0.13159,-0.13063,0.02678,0.02978,0.13657,-0.15512,0.03176,0.1008,0.5288,-0.52495,0.10761,0.11969,0.54882,-0.62335,0.12764
N00003777,35.2996111471651,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,141.3712344516913,201.3712344516913,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09211,0.36185,-0.44969,0.09685,0.13614,0.40876,-0.68272,0.14376,0.02508,0.13159,-0.13063,0.02678,0.02978,0.13657,-0.15512,0.03176,0.1008,0.5288,-0.52495,0.10761,0.11969,0.54882,-0.62335,0.12764
N00003778,35.2996111471651,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,141.3712344516913,201.3712344516913,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09211,0.36185,-0.44969,0.09685,0.13614,0.40876,-0.68272,0.14376,0.02508,0.13159,-0.13063,0.02678,0.02978,0.13657,-0.15512,0.03176,0.1008,0.5288,-0.52495,0.10761,0.11969,0.54882,-0.62335,0.12764
N00003779,35.2996111471651,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,125.29961114716512,283.1522762007667,141.3712344516913,201.3712344516913,0.10963,1.67852,0.69856,-0.60148,0.11856,0.05382,3.37338,0.32363,-0.26662,0.05863,0.09533,3.17493,0.36506,-0.46507,0.10006,0.09533,3.17493,0.36506,-0.46507,0.10006,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09211,0.36185,-0.44969,0.09685,0.13614,0.40876,-0.68272,0.14376,0.02508,0.13159,-0.13063,0.02678,0.02978,0.13657,-0.15512,0.03176,0.1008,0.5288,-0.52495,0.10761,0.11969,0.54882,-0.62335,0.12764
N00003780,34.0096740062926,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,124.0096740062926,281.8623390598942,141.3712344516913,201.3712344516913,0.11016,1.67545,0.69914,-0.60455,0.11914,0.05418,3.37144,0.32401,-0.26856,0.05901,0.09608,3.17101,0.36585,-0.46899,0.10085,0.09608,3.17101,0.36585,-0.46899,0.10085,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09283,0.36261,-0.45346,0.09761,0.13614,0.40876,-0.68272,0.14376,0.02524,0.13175,-0.13148,0.02695,0.02978,0.13657,-0.15512,0.03176,0.10142,0.52947,-0.52837,0.10828,0.11969,0.54882,-0.62335,0.12764
N00003781,34.0096740062926,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,124.0096740062926,281.8623390598942,141.3712344516913,201.3712344516913,0.11016,1.67545,0.69914,-0.60455,0.11914,0.05418,3.37144,0.32401,-0.26856,0.05901,0.09608,3.17101,0.36585,-0.46899,0.10085,0.09608,3.17101,0.36585,-0.46899,0.10085,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09283,0.36261,-0.45346,0.09761,0.13614,0.40876,-0.68272,0.14376,0.02524,0.13175,-0.13148,0.02695,0.02978,0.13657,-0.15512,0.03176,0.10142,0.52947,-0.52837,0.10828,0.11969,0.54882,-0.62335,0.12764
N00003782,34.0096740062926,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,124.0096740062926,281.8623390598942,141.3712344516913,201.3712344516913,0.11016,1.67545,0.69914,-0.60455,0.11914,0.05418,3.37144,0.32401,-0.26856,0.05901,0.09608,3.17101,0.36585,-0.46899,0.10085,0.09608,3.17101,0.36585,-0.46899,0.10085,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09283,0.36261,-0.45346,0.09761,0.13614,0.40876,-0.68272,0.14376,0.02524,0.13175,-0.13148,0.02695,0.02978,0.13657,-0.15512,0.03176,0.10142,0.52947,-0.52837,0.10828,0.11969,0.54882,-0.62335,0.12764
N00003783,34.0096740062926,BT635QQ,51.3712344516913,BT126BA,37.8526650536016,BT126BA,True,124.0096740062926,281.8623390598942,141.3712344516913,201.3712344516913,0.11016,1.67545,0.69914,-0.60455,0.11914,0.05418,3.37144,0.32401,-0.26856,0.05901,0.09608,3.17101,0.36585,-0.46899,0.10085,0.09608,3.17101,0.36585,-0.46899,0.10085,0.10296,1.71701,0.69125,-0.56299,0.11125,0.04941,3.39746,0.31899,-0.24254,0.05399,0.14343,2.92031,0.4163,-0.71969,0.1513,0.14343,2.92031,0.4163,-0.71969,0.1513,0.09283,0.36261,-0.45346,0.09761,0.13614,0.40876,-0.68272,0.14376,0.02524,0.13175,-0.13148,0.02695,0.02978,0.13657,-0.15512,0.03176,0.10142,0.52947,-0.52837,0.10828,0.11969,0.54882,-0.62335,0.12764
N00003784,40.372699739972,BT635QQ,57.2824173957882,BT126BA,37.8526650536016,BT126BA,True,130.372699739972,288.2253647935736,147.2824173957882,207.2824173957882,0.10754,1.69064,0.69626,-0.58936,0.11626,0.05242,3.38101,0.32216,-0.25899,0.05716,0.09239,3.19028,0.36197,-0.44972,0.09697,0.09239,3.19028,0.36197,-0.44972,0.09697,0.10049,1.73126,0.68853,-0.54874,0.10853,0.04779,3.40625,0.31729,-0.23375,0.05229,0.13991,2.93916,0.41252,-0.70084,0.14752,0.13991,2.93916,0.41252,-0.70084,0.14752,0.08929,0.35889,-0.43494,0.09389,0.13277,0.40514,-0.66464,0.14014,0.02447,0.13093,-0.12728,0.02612,0.02906,0.13578,-0.15109,0.03097,0.09834,0.52616,-0.5115,0.10498,0.11677,0.54565,-0.60718,0.12447
N00003785,40.372699739972,BT635QQ,57.2824173957882,BT126BA,37.8526650536016,BT126BA,True,130.372699739972,288.2253647935736,147.2824173957882,207.2824173957882,0.10754,1.69064,0.69626,-0.58936,0.11626,0.05242,3.38101,0.32216,-0.25899,0.05716,0.09239,3.19028,0.36197,-0.44972,0.09697,0.09239,3.19028,0.36197,-0.44972,0.09697,0.10049,1.73126,0.68853,-0.54874,0.10853,0.04779,3.40625,0.31729,-0.23375,0.05229,0.13991,2.93916,0.41252,-0.70084,0.14752,0.13991,2.93916,0.41252,-0.70084,0.14752,0.08929,0.35889,-0.43494,0.09389,0.13277,0.40514,-0.66464,0.14014,0.02447,0.13093,-0.12728,0.02612,0.02906,0.13578,-0.15109,0.03097,0.09834,0.52616,-0.5115,0.10498,0.11677,0.54565,-0.60718,0.12447
