from_postcode,closest_ivt_time,closest_ivt_unit,closest_mt_time,closest_mt_unit,transfer_mt_time,transfer_mt_unit,mt_transfer_required,ivt_drip_ship,mt_drip_ship,ivt_mothership,mt_mothership,drip_ship_nlvo_ivt_added_utility,drip_ship_lvo_ivt_added_utility,drip_ship_lvo_ivt_mt_added_utility,drip_ship_lvo_mt_added_utility,mothership_nlvo_ivt_added_utility,mothership_lvo_ivt_added_utility,mothership_lvo_ivt_mt_added_utility,mothership_lvo_mt_added_utility,drip_ship_lvo_mix_added_utility,mothership_lvo_mix_added_utility,drip_ship_weighted_added_utility,mothership_weighted_added_utility,drip_ship_weighted_treated_added_utility,mothership_weighted_treated_added_utility
N00000047,14.5772411907136,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,124.0096740062926,184.00967400629256,0.11808,0.05956,0.11272,0.11272,0.11016,0.05418,0.15378,0.15378,0.1086,0.14606,0.02819,0.03192,0.1133,0.12826
N00000048,14.5772411907136,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,124.0096740062926,184.00967400629256,0.11808,0.05956,0.11272,0.11272,0.11016,0.05418,0.15378,0.15378,0.1086,0.14606,0.02819,0.03192,0.1133,0.12826
N00000049,14.5772411907136,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,104.5772411907136,253.3258593386218,124.0096740062926,184.00967400629256,0.11808,0.05956,0.11272,0.11272,0.11016,0.05418,0.15378,0.15378,0.1086,0.14606,0.02819,0.03192,0.1133,0.12826
N00000050,13.034936869946,BT412RL,34.0096740062926,BT126BA,28.7486181479082,BT126BA,True,103.034936869946,251.7835550178542,124.0096740062926,184.00967400629256,0.1187,0.05999,0.11362,0.11362,0.11016,0.05418,0.15378,0.15378,0.10946,0.14606,0.02838,0.03192,0.11404,0.12826
N00000051,8.15778606675056,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,117.4048869057523,177.4048869057523,0.12066,0.06135,0.11649,0.11649,0.11287,0.056,0.15774,0.15774,0.11222,0.14986,0.02897,0.03273,0.1164,0.13152
N00000052,8.15778606675056,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,118.7486181479082,178.7486181479082,0.12066,0.06135,0.11649,0.11649,0.11232,0.05563,0.15693,0.15693,0.11222,0.14908,0.02897,0.03256,0.1164,0.13085
N00000053,8.15778606675056,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,117.4048869057523,177.4048869057523,0.12066,0.06135,0.11649,0.11649,0.11287,0.056,0.15774,0.15774,0.11222,0.14986,0.02897,0.03273,0.1164,0.13152
N00000054,11.4562670706944,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,118.7486181479082,178.7486181479082,0.11933,0.06043,0.11455,0.11455,0.11232,0.05563,0.15693,0.15693,0.11036,0.14908,0.02857,0.03256,0.11481,0.13085
N00000055,11.4562670706944,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,118.7486181479082,178.7486181479082,0.11933,0.06043,0.11455,0.11455,0.11232,0.05563,0.15693,0.15693,0.11036,0.14908,0.02857,0.03256,0.11481,0.13085
N00000056,11.4562670706944,BT412RL,27.4048869057523,BT126BA,28.7486181479082,BT126BA,True,101.4562670706944,250.2048852186026,117.4048869057523,177.4048869057523,0.11933,0.06043,0.11455,0.11455,0.11287,0.056,0.15774,0.15774,0.11036,0.14986,0.02857,0.03273,0.11481,0.13152
N00000057,8.15778606675056,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,118.7486181479082,178.7486181479082,0.12066,0.06135,0.11649,0.11649,0.11232,0.05563,0.15693,0.15693,0.11222,0.14908,0.02897,0.03256,0.1164,0.13085
N00000058,8.15778606675056,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,98.15778606675056,246.9064042146588,118.7486181479082,178.7486181479082,0.12066,0.06135,0.11649,0.11649,0.11232,0.05563,0.15693,0.15693,0.11222,0.14908,0.02897,0.03256,0.1164,0.13085
N00000059,9.83402616304834,BT412RL,30.0802640216665,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,120.0802640216665,180.0802640216665,0.11999,0.06088,0.1155,0.1155,0.11177,0.05526,0.15613,0.15613,0.11127,0.14831,0.02876,0.0324,0.11559,0.13019
N00000060,9.83402616304834,BT412RL,28.7486181479082,BT126BA,28.7486181479082,BT126BA,True,99.83402616304834,248.5826443109565,118.7486181479082,178.7486181479082,0.11999,0.06088,0.1155,0.1155,0.11232,0.05563,0.15693,0.15693,0.11127,0.14908,0.02876,0.03256,0.11559,0.13085
