from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00002780,0.07375,1.88308,0.65935,-0.39692,0.07935,0.03116,3.49615,0.29978,-0.14385,0.03478,0.0354,3.48476,0.30309,-0.15524,0.03809,0.0354,3.48476,0.30309,-0.15524,0.03809
N00002781,0.07433,1.87984,0.65998,-0.40016,0.07998,0.0315,3.4943,0.30014,-0.1457,0.03514,0.03611,3.4811,0.30382,-0.1589,0.03882,0.03611,3.4811,0.30382,-0.1589,0.03882
N00002782,0.07605,1.87015,0.66185,-0.40985,0.08185,0.03254,3.48875,0.30123,-0.15125,0.03623,0.03826,3.47008,0.306,-0.16992,0.041,0.03826,3.47008,0.306,-0.16992,0.041
N00002783,0.07662,1.86692,0.66248,-0.41308,0.08248,0.03288,3.48689,0.30159,-0.15311,0.03659,0.03898,3.4664,0.30672,-0.1736,0.04172,0.03898,3.4664,0.30672,-0.1736,0.04172
N00002784,0.07144,1.89604,0.65684,-0.38396,0.07684,0.02978,3.50353,0.29833,-0.13647,0.03333,0.03254,3.49939,0.30021,-0.14061,0.03521,0.03254,3.49939,0.30021,-0.14061,0.03521
N00002785,0.07028,1.90253,0.65558,-0.37747,0.07558,0.0291,3.50721,0.29761,-0.13279,0.03261,0.03111,3.50669,0.29877,-0.13331,0.03377,0.03111,3.50669,0.29877,-0.13331,0.03377
N00002786,0.07144,1.89604,0.65684,-0.38396,0.07684,0.02978,3.50353,0.29833,-0.13647,0.03333,0.03254,3.49939,0.30021,-0.14061,0.03521,0.03254,3.49939,0.30021,-0.14061,0.03521
N00002787,0.0726,1.88956,0.6581,-0.39044,0.0781,0.03047,3.49984,0.29906,-0.14016,0.03406,0.03397,3.49208,0.30165,-0.14792,0.03665,0.03397,3.49208,0.30165,-0.14792,0.03665
N00002788,0.0726,1.88956,0.6581,-0.39044,0.0781,0.03047,3.49984,0.29906,-0.14016,0.03406,0.03397,3.49208,0.30165,-0.14792,0.03665,0.03397,3.49208,0.30165,-0.14792,0.03665
N00002789,0.07375,1.88308,0.65935,-0.39692,0.07935,0.03116,3.49615,0.29978,-0.14385,0.03478,0.0354,3.48476,0.30309,-0.15524,0.03809,0.0354,3.48476,0.30309,-0.15524,0.03809
N00002790,0.07317,1.88632,0.65872,-0.39368,0.07872,0.03082,3.498,0.29942,-0.142,0.03442,0.03468,3.48842,0.30237,-0.15158,0.03737,0.03468,3.48842,0.30237,-0.15158,0.03737
N00002791,0.07317,1.88632,0.65872,-0.39368,0.07872,0.03082,3.498,0.29942,-0.142,0.03442,0.03468,3.48842,0.30237,-0.15158,0.03737,0.03468,3.48842,0.30237,-0.15158,0.03737
N00002792,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002793,0.08849,1.79982,0.67541,-0.48018,0.09541,0.04015,3.44768,0.30924,-0.19232,0.04424,0.05412,3.3886,0.32218,-0.2514,0.05718,0.05412,3.3886,0.32218,-0.2514,0.05718
N00002794,0.08993,1.79164,0.67698,-0.48836,0.09698,0.04105,3.44281,0.31019,-0.19719,0.04519,0.056,3.37895,0.32411,-0.26105,0.05911,0.056,3.37895,0.32411,-0.26105,0.05911
N00002795,0.08801,1.80253,0.67489,-0.47747,0.09489,0.03986,3.44929,0.30893,-0.19071,0.04393,0.0535,3.39179,0.32154,-0.24821,0.05654,0.0535,3.39179,0.32154,-0.24821,0.05654
N00002796,0.08515,1.81875,0.67177,-0.46125,0.09177,0.03808,3.45887,0.30706,-0.18113,0.04206,0.0498,3.41081,0.31776,-0.22919,0.05276,0.0498,3.41081,0.31776,-0.22919,0.05276
N00002797,0.08233,1.83476,0.66869,-0.44524,0.08869,0.03634,3.46825,0.30523,-0.17175,0.04023,0.04618,3.42942,0.31405,-0.21058,0.04905,0.04618,3.42942,0.31405,-0.21058,0.04905
N00002798,0.08289,1.83155,0.6693,-0.44845,0.0893,0.03669,3.46638,0.3056,-0.17362,0.0406,0.04691,3.4257,0.31479,-0.2143,0.04979,0.04691,3.4257,0.31479,-0.2143,0.04979
N00002799,0.08176,1.83797,0.66807,-0.44203,0.08807,0.036,3.47012,0.30487,-0.16988,0.03987,0.04546,3.43313,0.31332,-0.20687,0.04832,0.04546,3.43313,0.31332,-0.20687,0.04832
