from_postcode,nlvo_ivt_added_utility,nlvo_ivt_mean_mrs,nlvo_ivt_mrs_less_equal_2,nlvo_ivt_mrs_shift,nlvo_ivt_added_mrs_less_equal_2,lvo_ivt_added_utility,lvo_ivt_mean_mrs,lvo_ivt_mrs_less_equal_2,lvo_ivt_mrs_shift,lvo_ivt_added_mrs_less_equal_2,lvo_ivt_mt_added_utility,lvo_ivt_mt_mean_mrs,lvo_ivt_mt_mrs_less_equal_2,lvo_ivt_mt_mrs_shift,lvo_ivt_mt_added_mrs_less_equal_2,lvo_mt_added_utility,lvo_mt_mean_mrs,lvo_mt_mrs_less_equal_2,lvo_mt_mrs_shift,lvo_mt_added_mrs_less_equal_2
N00000034,0.11402,1.65303,0.70338,-0.62697,0.12338,0.05678,3.35717,0.32675,-0.28283,0.06175,0.11272,3.08361,0.38346,-0.55639,0.11846,0.11272,3.08361,0.38346,-0.55639,0.11846
N00000035,0.11465,1.64938,0.70407,-0.63062,0.12407,0.05721,3.35482,0.3272,-0.28518,0.0622,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942
N00000036,0.11465,1.64938,0.70407,-0.63062,0.12407,0.05721,3.35482,0.3272,-0.28518,0.0622,0.11362,3.07884,0.38442,-0.56116,0.11942,0.11362,3.07884,0.38442,-0.56116,0.11942
N00000037,0.10932,1.68031,0.69822,-0.59969,0.11822,0.05361,3.37451,0.32341,-0.26549,0.05841,0.10601,3.11894,0.37634,-0.52106,0.11134,0.10601,3.11894,0.37634,-0.52106,0.11134
N00000038,0.10876,1.68355,0.69761,-0.59645,0.11761,0.05324,3.37655,0.32302,-0.26345,0.05802,0.10522,3.1231,0.3755,-0.5169,0.1105,0.10522,3.1231,0.3755,-0.5169,0.1105
N00000039,0.10932,1.68031,0.69822,-0.59969,0.11822,0.05361,3.37451,0.32341,-0.26549,0.05841,0.10601,3.11894,0.37634,-0.52106,0.11134,0.10601,3.11894,0.37634,-0.52106,0.11134
N00000040,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
N00000041,0.10932,1.68031,0.69822,-0.59969,0.11822,0.05361,3.37451,0.32341,-0.26549,0.05841,0.10601,3.11894,0.37634,-0.52106,0.11134,0.10601,3.11894,0.37634,-0.52106,0.11134
N00000042,0.10932,1.68031,0.69822,-0.59969,0.11822,0.05361,3.37451,0.32341,-0.26549,0.05841,0.10601,3.11894,0.37634,-0.52106,0.11134,0.10601,3.11894,0.37634,-0.52106,0.11134
N00000043,0.10988,1.67704,0.69884,-0.60296,0.11884,0.05399,3.37244,0.32381,-0.26756,0.05881,0.10681,3.11474,0.37719,-0.52526,0.11219,0.10681,3.11474,0.37719,-0.52526,0.11219
